nmu      tdc      omegab      d      he3      he4      li6      li7      heavy
   3.0549E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.1189E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.1842E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.2509E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.3189E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.3884E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.4594E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.5318E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.6058E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.6813E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.7584E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.8371E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.9174E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.9994E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.0832E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.1687E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.2560E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.3451E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.4361E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.5290E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.6238E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.7206E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.8195E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.9204E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
